,TeamNames,Year,Seed,Results,ADJOE,ADJDE,Barthag,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,wab
1029,Southern,2010,17,NoTourney,82.7,110.0,.0363,42.7,49.1,23.2,20.7,28.2,38,36.7,34.5,43.6,49.2,27.2,32.6,69.8,-19.7
1030,Bryant,2010,17,NoTourney,79.8,109.4,.0257,42.5,50.7,25.2,19.1,23.6,36,26.9,43.1,42.4,48.4,28.5,36.8,64.3,-24.8
1031,Alcorn St.,2010,17,NoTourney,81.2,114.8,.0183,41.8,52.3,27.4,20.8,29.2,39.7,42.2,44.7,40.3,50,30.9,38.3,74.7,-24
1032,Ohio St.,2011,1,Sweet Sixteen,124.9,90.2,.9769,56.3,48.3,15.8,23.2,35.7,28.4,37.1,20.6,52.9,46.9,42.3,34,65.2,1
1033,Kansas,2011,1,Elite Eight,119.7,89.6,.9658,57,44.5,19.1,20.1,36.7,27.9,39.3,31.9,56.8,44.5,38.2,29.8,69.4,10.2
1034,Duke,2011,1,Sweet Sixteen,119.5,89.9,.9634,53.7,44.5,17.2,21,35.1,33.2,37.4,29.6,52.5,43.1,37.4,32.4,69.9,9.5
1035,Texas,2011,4,R32,114.3,88.5,.9501,50.2,42.5,17.3,18.8,38.2,30.6,43.1,30.7,48.1,41.9,37.6,29.5,66.9,5.4
1036,Kentucky,2011,4,Final Four,118.2,91.8,.9479,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,48.8,42.4,39.7,32.4,66.3,5.2
1037,Pittsburgh,2011,1,R32,118.6,92.5,.9461,52.9,45.1,18.4,17.5,42.9,28.6,43.1,32.3,50.5,43.2,39.5,32.6,63.6,7.6
1038,Wisconsin,2011,4,Sweet Sixteen,122.1,96.2,.9398,51.8,48.2,13.1,16.8,33.8,27.1,29.5,32.9,48.9,45.2,37.4,37,57.9,5.9
1039,Notre Dame,2011,2,R32,122.1,96.5,.9369,53.5,46.7,16.4,15.8,33.4,29.5,45.1,25.6,50.7,43.6,38.6,35.3,64.5,7.8
1040,Purdue,2011,3,R32,114.3,90.5,.9358,50.7,46,15.7,21.2,32.4,29.7,34.4,30.4,48.8,44.9,36.4,32.6,67,7.2
1041,San Diego St.,2011,2,Sweet Sixteen,112.5,89.5,.9326,50.5,44.1,16.9,19.4,37.5,29.8,31.1,28,50.2,42.7,34.2,31.6,63.6,8.7
1042,North Carolina,2011,2,Elite Eight,111.6,89.1,.9302,49.1,46.2,18.3,19.6,37.1,30.1,37.9,24.8,49.1,44.4,32.8,33.1,71.8,7.4
1043,Illinois,2011,9,R32,113.9,91.0,.9298,52.9,45.7,19.2,18.3,31.7,31.5,28.2,32.7,50.5,45.7,38.7,30.5,66.6,1.6
1044,Connecticut,2011,3,CHAMPS,114.7,92.1,.9262,48.2,44.5,17.1,17.4,38.7,34.1,33.8,26.8,47.7,42.4,32.9,32.7,65.6,7
1045,Syracuse,2011,3,R32,113.9,91.7,.9238,53.2,45.2,18.8,20.7,36.6,33.5,35.9,29.7,52.9,44.4,35.8,31.1,66.4,6.2
1046,Louisville,2011,4,R64,110.7,89.1,.9237,52.6,44.5,19,23.4,34.8,35.2,29.9,39.8,51.5,43.4,36.2,31.1,68,4.7
1047,BYU,2011,3,Sweet Sixteen,116.0,93.8,.9197,51.6,46.7,15.2,20.2,30.8,28.5,38.1,33.6,50.2,45.2,35.9,33.3,71.4,7.2
1048,Florida,2011,2,Elite Eight,115.2,93.9,.9133,52.1,47.2,18.7,19.1,37.2,30,35.7,27.8,51.7,47.5,35.2,31.1,63.9,5.3
1049,Washington,2011,7,R32,117.3,95.6,.9127,53.7,46.4,16.8,20.4,37.7,31.9,31.5,44,52.5,45.3,37.1,32.8,71.8,1.9
1050,West Virginia,2011,5,R32,114.4,93.6,.9099,48.5,45.9,18.8,18.6,40.2,35.5,40.9,36,47.5,47,33.7,29.1,63.6,3.1
1051,Arizona,2011,5,Elite Eight,117.6,96.5,.9071,54.1,48.6,18.8,18.5,34,29.2,43.6,36.6,51,50.4,39.7,29.3,66.3,4.7
1052,Kansas St.,2011,5,R32,111.4,91.7,.9040,49.6,47.3,21.3,22.2,40.9,30.9,43.1,45.3,46.4,45.1,37.5,35.1,68.3,2
1053,Clemson,2011,12,R64,109.4,90.3,.9008,50.3,45.6,20.1,23.2,34.2,32.5,38.5,34.8,49.5,43.6,34.4,33.1,64.8,0.7
1054,Cincinnati,2011,6,R32,110.3,91.1,.8997,49.4,45.8,17.9,22,38.2,31,38.3,35.4,48.8,44.7,33.8,32.3,64.1,3.4
1055,Utah St.,2011,12,R64,109.3,90.6,.8972,52.2,43.4,18.4,18.8,34,26,43.4,34.6,51.6,42.6,35.7,30,63.3,3.7
1056,Michigan,2011,8,R32,111.9,93.2,.8907,52.3,48.9,16.2,18.8,25.2,29.3,26.7,30.4,51.7,49.4,35.3,32,62.7,1.9
1057,St. John's,2011,6,R64,111.1,93.3,.8811,49.5,50.8,18.5,24.1,32.5,33.1,44.2,40.2,49.3,47.6,33.5,37.2,66.9,3.2
1058,UNLV,2011,8,R64,108.9,91.6,.8798,50.9,46,18.6,24,33.1,31.7,39.1,39.7,51.5,44.3,33,32.9,67.9,2.8
1059,Gonzaga,2011,11,R32,110.5,93.0,.8786,52.5,47.2,19.8,20.8,35.7,28.2,41.7,35.1,51.9,42.7,36.1,36.9,68.1,0.3
1060,Wichita St.,2011,17,NoTourney,112.5,94.8,.8780,53,45.7,19.1,18.7,35.3,24.9,35.3,36.2,53,43.9,35.3,33.3,65.7,-0.9
1061,Marquette,2011,11,Sweet Sixteen,114.1,96.2,.8772,51,49.9,18,20.5,36.1,33.2,44.3,28.9,50.5,48,34.9,35.8,67.6,0.8
1062,Virginia Tech,2011,17,NoTourney,109.5,92.3,.8768,50.3,47.4,18.6,21.7,32.6,31.1,40.7,31.2,50.7,46.9,33,32.2,65.1,1
1063,Florida St.,2011,10,Sweet Sixteen,102.6,86.5,.8762,49,42.4,22.9,21.9,35.6,30.7,38.1,36.3,48.5,40,33.4,30.6,69.1,1.2
1064,Vanderbilt,2011,5,R64,115.8,97.8,.8744,52.9,46,19,17.5,32.9,32.1,45.2,28,51.1,45.6,37.1,31.3,67.7,1.8
1065,Villanova,2011,9,R64,113.7,96.3,.8722,49.5,46.3,18,18.2,35.8,30.2,42.3,36.5,48.2,45.3,34.8,32,66.3,1.5
1066,Belmont,2011,13,R64,110.2,93.5,.8685,54.2,46.1,19.7,27.3,37.4,32.1,38.1,46.2,52.2,44.1,37.8,33.6,69.3,1
1067,Georgetown,2011,6,R64,112.2,95.5,.8642,54.1,46.8,20.8,17.5,33.7,32.3,33.4,37.9,54.7,45.2,35.3,33.7,65,4.4
1068,Butler,2011,8,Finals,111.0,94.5,.8636,49.8,48.1,16.9,18.9,33.2,28.1,37.9,39,47.9,48,35.2,32.2,64.7,-0.4
1069,Temple,2011,7,R32,109.0,93.1,.8592,50,46.3,16.3,19.9,32.1,28.7,33.8,26.4,48.7,43.5,35.3,35.8,65.5,2.1
1070,Penn St.,2011,10,R64,112.2,96.3,.8522,50.1,50.7,17.6,18,32.2,30.2,31.1,29.1,49.6,48.3,33.9,36.5,60.8,1.7
1071,Maryland,2011,17,NoTourney,108.4,93.1,.8517,50.9,45.6,19,20.9,35.8,31.8,38.9,29.6,50.5,44.2,34.8,32.4,71.5,-1.5
1072,George Mason,2011,8,R32,111.2,95.7,.8494,53.2,46.6,17,20.5,32.9,31.3,38.6,32,50.5,45.5,39.5,32.6,65.8,1.1
1073,Alabama,2011,17,NoTourney,104.1,89.6,.8476,48.7,43.7,21.2,23.9,36.8,33.8,31.6,36.3,50,41.8,29.8,31.8,64.9,-1.2
1074,UCLA,2011,7,R32,107.5,92.7,.8463,50.2,46.3,21.9,17.9,36.1,31.5,44.3,33,50.7,44.2,32.7,34.7,66.6,1.4
1075,Michigan St.,2011,10,R64,107.8,93.0,.8454,48.6,47.8,20.1,18,34.6,28.8,36.6,38.9,46.7,44.8,35,36.3,66.6,2.3
1076,USC,2011,11,R68,106.8,92.2,.8442,49.9,46.2,17.8,18.4,29.9,28.5,35.4,36.1,48.5,44.4,35.4,33.5,63.3,-1.6
1077,Missouri,2011,11,R64,112.1,96.9,.8428,51.5,49.3,17,24.6,33.4,36.9,34.3,40.7,50.2,48.4,36.2,34.3,71.9,1.4
1078,Saint Mary's,2011,17,NoTourney,116.5,100.6,.8427,55.7,49.1,16.6,19.6,33,28.9,33.4,37.1,53.6,46.9,39.4,37,66.1,0.5
1079,Northwestern,2011,17,NoTourney,115.8,100.1,.8419,53.4,52.5,15.3,19.6,27.5,30.6,30,37.1,51.4,52.8,37.2,34.6,64.4,-0
1080,Xavier,2011,6,R64,110.8,95.9,.8402,51.2,46.5,18.2,18.9,32.4,27.7,44.5,35,52,44.2,32.9,33.9,65.9,2.4
1081,Richmond,2011,12,Sweet Sixteen,111.1,96.3,.8383,53.1,45.1,16.3,19.4,28.6,33.4,32.3,29.3,49.9,44.8,39.1,30.6,63.3,1.8
1082,Tennessee,2011,9,R64,108.1,93.8,.8372,47.6,47.9,19.8,20.7,37.8,32.3,39.7,37.5,48.7,46.8,30,33.2,67.2,-1.1
1083,Washington St.,2011,17,NoTourney,107.9,93.9,.8316,51.6,46.1,18.3,20.9,28.2,33.3,36,32.6,50.9,45.6,35.2,31.2,68.2,-0.7
1084,Georgia,2011,10,R64,108.5,94.7,.8271,49.5,44.8,20.4,18.2,36.8,31.7,36.6,34.7,48.8,43.4,34.2,31.9,64.6,0.2
1085,Old Dominion,2011,9,R64,108.6,95.0,.8237,48.5,47.3,20.6,19,45.4,28.2,37.6,27.5,48.1,42.8,32.9,36.6,61.6,2.3
1086,Miami FL,2011,17,NoTourney,112.6,98.5,.8228,51.8,47.8,20.9,18,35.8,31.3,38.9,37.8,48.9,45,37.7,35.4,65.6,-2.1
1087,Seton Hall,2011,17,NoTourney,103.0,90.2,.8217,46.4,46.4,17.8,20.9,30.1,31.9,31.3,38.4,46.6,46.1,30.6,31.4,69.1,-4.6
1088,Minnesota,2011,17,NoTourney,109.4,95.8,.8215,49.9,47.3,20.4,17.6,37.6,31.6,43.7,29.3,50.7,43.9,32.1,34.6,66.5,-0.7
1089,New Mexico,2011,17,NoTourney,110.4,96.8,.8197,51.3,48.3,19.9,19.2,35.6,27.8,42.6,35.9,50.8,47.2,34.9,33.6,66.1,-1.9
1090,Texas A&M,2011,7,R64,107.6,94.6,.8147,49.3,46.6,20.3,20.8,37.6,29.5,47.3,36.9,48.6,46.2,33.8,31.6,62.7,2.4
1091,Duquesne,2011,17,NoTourney,106.8,94.0,.8130,52.2,47.9,18.6,27.8,33.2,38.3,42.3,37.6,51.5,46.7,35.7,33.5,71.8,-4.7
1092,Colorado,2011,17,NoTourney,116.3,102.8,.8040,52.5,50.6,16.8,19.2,34.6,32.6,39.3,35.7,51,48.7,37.6,36.5,67.8,-0.8
1093,VCU,2011,11,Final Four,111.2,98.5,.8001,51.1,49.2,17.1,22.1,30.9,36.4,37,34.1,48,48.7,37,33.6,66.5,-2
1094,Boston College,2011,17,NoTourney,115.8,102.7,.7996,54.5,50.8,17.2,16.2,30.4,33.2,31.5,25.9,52.4,49.6,38.2,35.3,63.8,-0
1095,UAB,2011,12,R68,107.1,95.1,.7965,50.8,45.9,19.3,19.2,33.4,30.6,29.7,32.4,50.3,45.7,34.2,31,63.1,-0.2
1096,UTEP,2011,17,NoTourney,104.3,92.8,.7921,51.9,45.9,18.3,21.2,24.4,30.6,40.9,33.3,50.7,45.8,36.5,30.8,67.9,-1.6
1097,Oakland,2011,13,R64,116.5,103.7,.7918,55.8,49.5,18.6,16.5,36.4,32,39.1,31.1,55.9,47.5,37.2,36.2,72.7,0.3
1098,College of Charleston,2011,17,NoTourney,113.0,101.1,.7828,54.8,48.5,17.9,19.3,32.8,35.4,27.4,27.1,54.6,47.5,36.6,34,67.7,-2.9
1099,California,2011,17,NoTourney,109.6,98.4,.7751,50.8,50.4,19.5,18.2,30.4,29.1,47.1,33.8,50.2,47.9,35.1,36.4,68.6,-1.5
1100,Cleveland St.,2011,17,NoTourney,107.5,96.7,.7724,49.2,47.1,17.3,21.9,30.9,33.7,40.7,40.4,48,46.5,34.2,32.3,66.5,0.1
1101,Iona,2011,17,NoTourney,112.3,101.0,.7721,54.4,49.8,17.9,20.8,33.2,29,36.5,34.2,53.4,48.1,37.5,35.7,69.6,-5.1
1102,Southern Miss,2011,17,NoTourney,111.5,100.4,.7703,49.7,48.6,18.1,20.1,38.4,29.7,42.7,41,48.5,45.8,35.5,35.6,65.8,-2.6
1103,Mississippi,2011,17,NoTourney,111.5,100.9,.7602,50.8,48.1,18.9,19.1,35.3,31.8,34.8,39.2,49.7,46.1,35.1,34.9,67.5,-3.3
1104,Nebraska,2011,17,NoTourney,103.0,93.2,.7601,51,45.6,20.7,20.2,30,27.2,35.2,34.4,52.7,42.4,31.4,33.6,63.7,-2.2
1105,Oregon,2011,17,NoTourney,106.4,96.3,.7584,48.2,51.7,17.8,22.2,30.1,32.2,30.8,35.8,46.7,49.4,34,37,68,-5.6
1106,Missouri St.,2011,17,NoTourney,112.3,101.8,.7564,51.8,49.9,16.6,17.7,33.2,26.9,38.2,34,49.4,48.9,37.6,34.8,63.5,-0.2
1107,Oklahoma St.,2011,17,NoTourney,104.6,95.3,.7449,47.5,46.9,20,20.2,32.9,30.1,45.1,45.2,48.8,44.8,29.5,34.1,65.8,-1.3
1108,Virginia,2011,17,NoTourney,103.9,94.7,.7447,48.5,50.2,17.6,19.7,26.2,28.5,32,28.8,43,47.8,38.8,36.3,60.7,-3.5
1109,Iowa,2011,17,NoTourney,104.1,95.0,.7411,48.1,50,21.3,21.2,34.5,32.3,34.5,28,48.5,50.1,31.4,33.2,68,-6.6
1110,Colorado St.,2011,17,NoTourney,106.6,97.4,.7381,51.7,49.2,20.7,20.1,31.6,30.6,42.3,38.2,53,48.4,32.8,33.8,67.3,-2
1111,Baylor,2011,17,NoTourney,106.0,96.9,.7373,51.4,47.8,23.4,21.8,36.3,30.9,42.6,35.2,50.9,45.9,35.1,34.3,66.5,-3.5
1112,Indiana,2011,17,NoTourney,108.6,99.4,.7353,51.6,49.6,19.8,19.7,32.6,30.9,36.9,50.2,51.4,47,34.6,36.4,66.4,-6.1
1113,Rutgers,2011,17,NoTourney,106.3,97.3,.7342,49,47.6,18.7,21.6,32,33.3,31.7,44.9,47.9,44.7,34.4,34.6,64.4,-4.4
1114,Iowa St.,2011,17,NoTourney,106.4,97.5,.7324,50.6,47.6,17.5,20.1,29.4,32.8,26.4,29.2,47.8,46.3,36.8,33.6,70.4,-5.3
1115,Creighton,2011,17,NoTourney,109.7,100.9,.7242,52.9,48.8,18.9,15,30.9,27.4,36,26.3,51.4,47.4,36.9,34.6,64.8,-6.1
1116,Wofford,2011,14,R64,111.0,102.0,.7240,53,49.8,18,20.2,34.1,32.4,42,41.5,50.4,48.8,40,34.8,64.8,-4.6
1117,Princeton,2011,13,R64,105.8,97.3,.7240,52,47.1,18.7,18.3,31.1,26.9,36.7,35.4,50.5,46,36.9,33.3,63.8,-0.3
1118,Marshall,2011,17,NoTourney,108.2,99.9,.7159,49.7,47,19.7,17.8,37.2,31.9,47.4,37.9,50,48.3,32.5,29.5,67.7,-2.9
1119,Harvard,2011,17,NoTourney,110.1,101.7,.7149,54.1,49.5,20.2,19.8,30.9,30.5,42.3,26,52.6,47.2,37.9,36.3,64.6,0.2
1120,Memphis,2011,12,R64,103.5,95.9,.7059,50.5,46.8,21.9,21.3,35.3,35,39.6,39.1,51,45.6,32.9,33,69.1,-0
1121,Arkansas,2011,17,NoTourney,106.4,98.6,.7050,49.5,45.6,19.3,20.9,30.7,35.6,39.4,31.5,47.1,45,36.2,31.5,67.3,-4.2
1122,North Carolina St.,2011,17,NoTourney,108.4,100.9,.6961,47.8,46.8,17.9,17.1,35.5,35.1,36,32.3,47.3,46.3,32.9,32,67.3,-3.6
1123,Portland,2011,17,NoTourney,109.9,102.3,.6958,52.7,49.7,19.7,17.5,33.9,30.2,33.1,36.7,48.1,48.2,41.2,34.8,64.6,-3.4
1124,Tulsa,2011,17,NoTourney,105.8,98.6,.6939,50.1,47.4,20.5,17.5,34.1,26.8,44.4,40.9,48.8,46.3,34.9,33.4,67.2,-5
1125,Boise St.,2011,17,NoTourney,106.0,98.8,.6934,49.5,52.2,17.3,24.7,31.2,28.1,41.6,43.7,48.5,49.8,34.2,38,68.3,-4.9
1126,Drexel,2011,17,NoTourney,97.7,91.1,.6919,45.8,43.8,18.8,15.8,37.6,23.6,40.2,37.6,45.7,44.2,31,28.5,64.2,-2.8
1127,Georgia Tech,2011,17,NoTourney,99.9,93.6,.6797,45.7,50.2,19.6,23.8,33.5,29.1,31.8,45.2,46.2,47,29.9,37.9,69.5,-6.9
1128,Indiana St.,2011,14,R64,102.2,95.9,.6769,48.8,46.3,21.4,19.4,31.2,30.2,38,45.8,46.3,44.5,35.4,33.2,66.1,-4.2
1129,Northern Iowa,2011,17,NoTourney,107.5,100.8,.6762,49.8,51.7,15.3,20.3,24.5,26.7,35.5,33.8,48.6,48.9,34.4,37.8,60.4,-4.6
1130,Long Beach St.,2011,17,NoTourney,105.0,98.5,.6760,49.7,50.4,20.1,19.1,33.3,28.8,41.9,28.7,49.3,50.2,33.7,33.9,69.8,-3
1131,Bucknell,2011,14,R64,102.9,96.8,.6681,50.9,45.4,16.9,17.7,25.2,29,34.1,35,46.7,44.1,40,31.7,66,-2.2
1132,Dayton,2011,17,NoTourney,102.8,96.8,.6670,46.8,47.5,19.9,18.8,35.7,28.2,33.3,38.4,43.6,46.9,35.5,32.3,66.3,-3.2
1133,Mississippi St.,2011,17,NoTourney,107.3,101.1,.6656,50.7,47.7,19.6,16.1,28.9,32.3,35.9,27.3,48.3,46.2,36.2,33.7,67.8,-4.9
1134,South Dakota St.,2011,17,NoTourney,114.3,107.8,.6620,53.8,53.2,14.3,19.3,32.9,31.5,34.9,33.9,49.5,50.5,40.9,40.2,68.7,-6.8
1135,Stanford,2011,17,NoTourney,103.2,97.5,.6592,49,49.1,20.3,21.3,32.6,29.6,37.7,36.3,46.8,46.4,35.6,36.4,65.4,-5.6
1136,East Tennessee St.,2011,17,NoTourney,103.0,97.3,.6577,49.7,47.3,20.1,20.9,33.8,32.5,44.5,35.2,48.8,44.9,34.6,34.2,65.5,-4.3
1137,Fairfield,2011,17,NoTourney,96.9,91.7,.6545,47.2,44.6,21,24.1,35,31.7,38.9,31.5,47.9,43.3,30,32,65.9,-2.2
1138,Valparaiso,2011,17,NoTourney,104.4,98.8,.6542,51.8,48.6,20.1,21.2,32.2,33.2,33.5,41.6,53.8,47.8,32,33.4,66.8,-2.8
1139,South Florida,2011,17,NoTourney,103.1,97.6,.6524,46.2,47.6,23.6,16.4,36.6,33,38.1,38.8,46.5,46,30.3,34.4,62.7,-9.2
1140,Kent St.,2011,17,NoTourney,104.9,99.3,.6509,48.5,47.1,18.8,20.6,35.9,35.6,33.9,31.3,47.7,47.3,33.7,31.1,67.3,-4.1
1141,Providence,2011,17,NoTourney,107.4,102.0,.6458,47.7,49.6,17.6,19.5,37.2,35.4,37.6,30,47.9,49.8,31.5,32.7,72.5,-5.1
1142,UCF,2011,17,NoTourney,103.7,98.4,.6455,50.3,46.4,21,19.5,33.7,32.9,45.8,32.7,50.6,43.6,33.2,35.4,65.9,-4.1
1143,Wright St.,2011,17,NoTourney,103.9,98.8,.6423,49.5,51.8,17.4,24,25.3,30.8,38.4,43.5,46.9,53.7,35.9,32.3,62.7,-6.3
1144,Morehead St.,2011,13,R32,103.6,98.5,.6405,50.6,49.6,23.3,22.6,41.1,27.8,40.6,37.8,49.8,46.3,34.8,36.7,64.5,-3.6
1145,Arizona St.,2011,17,NoTourney,103.9,98.9,.6368,50.1,49.1,18.9,19.9,27.7,33,29,39.3,48.4,47.5,35.1,34.6,63.8,-7.5
1146,Texas Tech,2011,17,NoTourney,106.3,101.8,.6230,49.3,50.5,19.5,19.3,32.4,35.6,38.1,39.1,47.4,49.6,36.5,35.1,70.6,-8
1147,Rhode Island,2011,17,NoTourney,101.8,97.5,.6220,48.4,47.6,18.2,20.7,31.1,32.9,30.4,37,47.3,48.9,33.7,30.1,67.5,-4.5
1148,Santa Clara,2011,17,NoTourney,106.4,101.9,.6219,49.1,50.6,19.9,20.3,35.6,29.7,47.6,45.3,47.3,49.2,34.8,35.7,68.4,-6.6
1149,Montana,2011,17,NoTourney,99.9,95.7,.6208,50.2,44.7,19.2,20.1,31,31.7,41.4,34.9,51.6,43.1,31.2,32.5,63.8,-4.9
1150,Saint Louis,2011,17,NoTourney,98.0,94.1,.6144,48.8,47.5,20.8,21.5,28.5,30.5,32.7,40.6,48.8,46.2,32.4,34.5,64.7,-10.2
1151,Buffalo,2011,17,NoTourney,102.2,98.2,.6134,52.5,47.4,22.7,22.4,36.5,33.2,35.8,37.9,50.9,44.1,37.5,36.7,66.7,-7.8
1152,Detroit,2011,17,NoTourney,106.1,102.2,.6070,50.7,48.8,22,19.6,36,33.9,46.5,32.3,49.8,48.2,35.4,33.3,70.8,-8
1153,Akron,2011,15,R64,101.5,97.8,.6065,49.6,46.7,17.5,20.5,28.1,32.7,31.2,38.6,46.9,46,35.9,32.1,67.1,-5.6
1154,Oral Roberts,2011,17,NoTourney,108.8,104.9,.6039,52.4,51.3,19.1,19.1,36.3,31.6,40.9,42.7,51.5,50.4,36.6,35.5,67.2,-7.3
1155,James Madison,2011,17,NoTourney,105.6,102.0,.5988,51.3,49,19,17.8,31.7,27.7,38.5,36.5,49.1,46.2,37.8,36.2,68.2,-3.3
1156,South Carolina,2011,17,NoTourney,99.7,96.4,.5965,45,47.7,19.3,21.4,36.7,34.9,27.2,39.5,43.9,45.5,31.3,35,69,-4.9
1157,LIU Brooklyn,2011,15,R64,106.4,103.1,.5906,51.9,48.3,20.1,19.8,37.4,32.3,49.7,26.2,50.9,50.1,36.1,29.7,74.9,-1.2
1158,St. Bonaventure,2011,17,NoTourney,106.0,102.6,.5904,50.8,48.2,21.9,17.1,33.7,31.3,43.8,33.9,50,47.8,35.1,32.8,64.6,-6.4
1159,Austin Peay,2011,17,NoTourney,102.0,98.8,.5897,49.9,48.8,20.6,23.4,34.9,33.9,40.9,36.9,48.9,48.7,35.2,32.7,68.1,-6.8
1160,Northern Colorado,2011,15,R64,104.5,101.3,.5883,49.8,48.8,21.6,20.1,35.3,29,43.4,43.2,44.9,45.9,38.3,35.2,67.5,-4.6
1161,Rider,2011,17,NoTourney,105.3,102.1,.5879,53.5,46.1,20,18.6,30.3,34.5,35,33.2,50.7,44.5,39.1,32.8,68.9,-3.7
1162,Saint Peter's,2011,14,R64,93.6,90.9,.5831,45.5,42.4,22.9,21.6,32.1,34.3,38.9,42.1,42.7,40.7,34.4,30.6,65.1,-5.9
1163,Air Force,2011,17,NoTourney,105.2,102.3,.5801,54.7,49,18.8,20.3,20,34.5,38.7,32.4,53.3,47,38,34.3,62.1,-4.6
1164,Ohio,2011,17,NoTourney,106.1,103.3,.5782,49.8,50.7,18.9,21.6,33.4,32.4,37.3,40,48,49.4,35.4,35.5,68.6,-9.1
1165,Vermont,2011,17,NoTourney,100.6,97.9,.5776,49.1,44.4,20.6,18.3,37.3,29.3,37.2,28,47.9,42.5,35.1,32.4,65.7,-2.9
1166,IUPUI,2011,17,NoTourney,110.0,107.2,.5748,52,53.7,17.6,19,32.9,33.4,32.3,27.7,51.8,53.3,35,36.3,62.5,-5.7
1167,Murray St.,2011,17,NoTourney,102.7,100.2,.5712,51.3,49.2,21.7,23.3,34.2,31.1,46.2,41.4,48.8,47.6,37.8,35.4,63.6,-3.8
1168,Loyola Chicago,2011,17,NoTourney,104.6,102.1,.5710,48.5,50.4,19.4,20.8,36,32.2,36.9,33.8,45.8,48.8,36.2,36,65.5,-8.4
1169,SMU,2011,17,NoTourney,102.7,100.2,.5708,56.3,49.5,22.6,21.6,23.9,33.3,34.6,31.6,54.9,45.5,38.9,38,60.9,-8.7
1170,Utah,2011,17,NoTourney,101.3,99.1,.5649,48.1,47.4,20.1,15.8,28.6,32.7,36.6,37.5,47.1,45.9,33.5,34.2,69,-6.3
1171,Milwaukee,2011,17,NoTourney,103.3,101.0,.5640,50.2,50.8,20.7,18.9,32,30.7,44.2,32.8,48.5,49.2,35.2,36,66.9,-4.5
1172,UC Santa Barbara,2011,15,R64,101.4,99.4,.5579,51.6,47.3,21.9,20,28.2,31.9,37.3,42.3,49.6,43.1,36.6,36.6,65.7,-6.8
1173,Idaho,2011,17,NoTourney,104.0,102.0,.5569,51.9,47.4,22.2,19.7,30.5,33.5,38.1,31.7,49.5,47,37.9,32.1,64.7,-6.6
1174,Oklahoma,2011,17,NoTourney,103.7,101.6,.5566,50.7,50.9,20.9,20.4,27.3,32.1,36.2,38.8,50.6,49.2,34,36.2,64.9,-5.1
1175,San Francisco,2011,17,NoTourney,100.8,98.8,.5563,49.5,47.8,20.3,16.3,30.1,28.3,38,34.2,48.9,47.5,33.7,32.3,68.1,-5.7
1176,Pacific,2011,17,NoTourney,103.3,101.7,.5448,50.6,49.3,18.8,17.1,30.4,28.4,35,29.3,49,47.9,35.3,34.9,61.2,-8.9
1177,Hawaii,2011,17,NoTourney,100.0,98.6,.5427,50.8,45.4,23,18.6,31.6,31.9,42.5,36.5,50,42.9,35,33.3,68.3,-6.2
1178,Robert Morris,2011,17,NoTourney,101.5,100.0,.5421,48,48.3,19.9,22.9,34.4,32.7,35.4,49.7,45.2,46.8,35.7,33.9,64.7,-7.1
1179,Northern Arizona,2011,17,NoTourney,102.3,100.8,.5403,54.1,47,20,19.4,30.1,32.7,33.1,37.1,50.5,45.9,42.2,32.7,66.3,-6.7
1180,George Washington,2011,17,NoTourney,101.0,99.6,.5398,46.8,49.8,19.7,22.7,36.4,32.6,37.6,36.3,45.1,46.8,33.6,36.5,64.9,-7.1
1181,Coastal Carolina,2011,17,NoTourney,102.1,100.7,.5395,50.6,46,19.4,18.6,35.3,30.1,45,25.9,51.7,42.7,31.5,34.8,66.8,-1.8
1182,Nevada,2011,17,NoTourney,102.9,101.5,.5384,48.3,48.1,20.7,17.8,33.8,32.2,42.6,41,46.2,46.4,34.8,34.6,68.3,-11.5
1183,Hofstra,2011,17,NoTourney,107.5,106.0,.5382,49.6,50.2,15.9,19,28.9,36.1,35.5,35.2,48,47.1,35.4,38,65.9,-3.7
1184,Rice,2011,17,NoTourney,103.7,102.3,.5379,48.3,52.4,19.1,20.7,32.2,28,42.9,45.3,47,48.9,34.2,38.4,64.5,-10.2
1185,Davidson,2011,17,NoTourney,103.2,101.8,.5375,49.6,48.3,20.9,18.8,35.4,29.4,36.4,50.3,48.6,47.3,34,34,68.6,-7.7
1186,New Mexico St.,2011,17,NoTourney,102.4,101.2,.5348,49.4,50.7,21.1,21.4,32.6,33,49.2,37.1,49.3,51.2,32.9,33,68.4,-8.7
1187,San Jose St.,2011,17,NoTourney,105.0,103.8,.5314,45.3,49.9,15.8,17,32.3,29.5,37.5,38,41.5,49.3,36.9,34.1,67.6,-8.5
1188,East Carolina,2011,17,NoTourney,103.3,102.3,.5297,49.3,49.5,20.8,20.5,30.3,35.6,49.4,40.3,46.1,48.9,35.9,33.8,66.1,-6.9
1189,Oregon St.,2011,17,NoTourney,101.9,100.9,.5275,47.3,53.8,21.7,23.2,34.1,33,43.6,37.3,48.1,52.3,30.4,37.4,69.9,-9.5
1190,Western Michigan,2011,17,NoTourney,103.1,102.1,.5267,48.7,48.7,20.2,18.7,36.4,31.5,36.4,36.7,47.6,46.9,34.4,35.3,67.8,-6.7
